Zeit [h]	Tf [C]	Heizleistung [W]	Massenstrom [kg/s]
4.033333333	19.2	5198	0.365833333
4.05	19.2	5288	0.366944444
4.066666667	19.25	5280	0.367222222
4.083333333	19.2	5301	0.366666667
4.1	19.2	5302	0.366666667
4.116666667	19.25	5269	0.3675
4.133333333	19.2	5286	0.3675
4.15	19.25	5249	0.366111111
4.166666667	19.25	5336	0.372222222
4.183333333	19.3	5306	0.37
4.2	19.25	5248	0.364722222
4.216666667	19.3	5301	0.369444444
4.233333333	19.3	5331	0.3675
4.25	19.3	5270	0.366111111
4.266666667	19.3	5245	0.368611111
4.283333333	19.25	5229	0.365277778
4.3	19.35	5370	0.367777778
4.316666667	19.35	5291	0.366388889
4.333333333	19.3	5301	0.367222222
4.35	19.35	5343	0.365555556
4.366666667	19.4	5303	0.367222222
4.383333333	19.3	5151	0.365833333
4.4	19.3	5241	0.366944444
4.416666667	19.35	5270	0.365833333
4.433333333	19.4	5180	0.364722222
4.45	19.4	5360	0.368888889
4.466666667	19.35	5290	0.368055556
4.483333333	19.35	5420	0.365555556
4.5	19.4	5413	0.368055556
4.516666667	19.4	5260	0.365
4.533333333	19.35	5404	0.3675
4.55	19.4	5320	0.368055556
4.566666667	19.4	5298	0.369444444
4.583333333	19.4	5286	0.368611111
4.6	19.4	5325	0.368055556
4.616666667	19.45	5316	0.368611111
4.633333333	19.35	5481	0.371388889
4.65	19.4	5286	0.366388889
4.666666667	19.35	5351	0.365555556
4.683333333	19.45	5406	0.367222222
4.7	19.35	5271	0.368611111
4.716666667	19.45	5340	0.37
4.733333333	19.4	5285	0.366388889
4.75	19.45	5379	0.370555556
4.766666667	19.45	5377	0.367222222
4.783333333	19.45	5307	0.369722222
4.8	19.4	5285	0.368333333
4.816666667	19.4	5169	0.364166667
4.833333333	19.4	5284	0.368055556
4.85	19.45	5277	0.368611111
4.866666667	19.45	5311	0.365833333
4.883333333	19.45	5274	0.368333333
4.9	19.5	5468	0.37
4.916666667	19.45	5250	0.3675
4.933333333	19.5	5192	0.367777778
4.95	19.5	5340	0.3675
4.966666667	19.4	5227	0.368055556
4.983333333	19.5	5354	0.369444444
5	19.5	5225	0.365555556
5.016666667	19.45	5325	0.367222222
5.033333333	19.5	5226	0.366944444
5.05	19.5	5209	0.367777778
5.066666667	19.5	5269	0.37
5.083333333	19.5	5278	0.366111111
5.1	19.55	5457	0.368055556
5.116666667	19.5	5423	0.3675
5.133333333	19.45	5422	0.369722222
5.15	19.5	5335	0.37
5.166666667	19.55	5368	0.367222222
5.183333333	19.55	5277	0.368888889
5.2	19.55	5293	0.369166667
5.216666667	19.55	5324	0.367222222
5.233333333	19.6	5137	0.362222222
5.25	19.6	5346	0.365277778
5.266666667	19.55	5358	0.367222222
5.283333333	19.55	5268	0.367222222
5.3	19.55	5286	0.366388889
5.316666667	19.6	5225	0.366388889
5.333333333	19.6	5236	0.366944444
5.35	19.6	5166	0.366388889
5.366666667	19.5	5219	0.367222222
5.383333333	19.55	5373	0.367222222
5.4	19.55	5288	0.365555556
5.416666667	19.6	5460	0.37
5.433333333	19.65	5336	0.369722222
5.45	19.55	5318	0.368611111
5.466666667	19.6	5184	0.366666667
5.483333333	19.6	5321	0.366666667
5.5	19.65	5310	0.368888889
5.516666667	19.65	5358	0.366111111
5.533333333	19.65	5316	0.368333333
5.55	19.55	5328	0.367222222
5.566666667	19.55	5380	0.368333333
5.583333333	19.65	5386	0.369166667
5.6	19.7	5279	0.367777778
5.616666667	19.6	5279	0.367777778
5.633333333	19.65	5310	0.365833333
5.65	19.65	5348	0.365277778
5.666666667	19.7	5233	0.365555556
5.683333333	19.65	5409	0.367222222
5.7	19.65	5249	0.366666667
5.716666667	19.65	5279	0.365555556
5.733333333	19.7	5372	0.364722222
5.75	19.65	5361	0.368055556
5.766666667	19.65	5267	0.365
5.783333333	19.6	5273	0.367222222
5.8	19.7	5257	0.365277778
5.816666667	19.7	5258	0.366388889
5.833333333	19.75	5367	0.366388889
5.85	19.7	5313	0.37
5.866666667	19.65	5283	0.368055556
5.883333333	19.7	5257	0.367222222
5.9	19.7	5322	0.3675
5.916666667	19.7	5403	0.367777778
5.933333333	19.75	5319	0.368055556
5.95	19.7	5357	0.37
5.966666667	19.65	5250	0.364444444
5.983333333	19.75	5264	0.367777778
6	19.7	5242	0.366111111
6.016666667	19.7	5250	0.364722222
6.033333333	19.7	5292	0.368611111
6.05	19.75	5330	0.368055556
6.066666667	19.8	5262	0.365277778
6.083333333	19.75	5336	0.367222222
6.1	19.7	5285	0.366111111
6.116666667	19.75	5389	0.367777778
6.133333333	19.75	5122	0.366111111
6.15	19.75	5270	0.366944444
6.166666667	19.8	5222	0.365833333
6.183333333	19.8	5347	0.366944444
6.2	19.75	5319	0.367222222
6.216666667	19.8	5313	0.366666667
6.233333333	19.75	5220	0.366666667
6.25	19.8	5321	0.364444444
6.266666667	19.75	5234	0.366666667
6.283333333	19.75	5340	0.3675
6.3	19.75	5214	0.364166667
