Koordinatensystem : Lambert konform konisch
Rechtswert        : 4253500 Meter
Hochwert          : 2702500 Meter
Hoehenlage        : 122 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
4253500 2702500  1  4  3   5.3 1006 131  0.7 7  4.5  79    0    0 301 -305  2
4253500 2702500  1  4  4   5.4 1006 168  1.0 7  4.4  79    0    0 296 -305  2
4253500 2702500  1  4  5   5.0 1006 253  1.5 7  4.3  78    0    0 296 -304  2
4253500 2702500  1  4  6   4.8 1005 244  3.2 7  4.2  77    0    0 296 -303  2
4253500 2702500  1  4  7   5.0 1005 238  2.6 7  4.2  77    0    0 297 -304  2
4253500 2702500  1  4  8   5.4 1005 297  1.0 7  4.2  76    0    0 299 -307  2
4253500 2702500  1  4  9   5.2 1005 283  2.1 7  4.2  76    0    4 301 -308  2
4253500 2702500  1  4 10   5.3 1006 255  1.6 6  4.4  78    0   25 296 -310  2
4253500 2702500  1  4 11   5.1 1006 258  1.7 5  4.5  82   13   68 283 -314  2
4253500 2702500  1  4 12   5.0 1006 253  2.0 6  4.8  87   12   90 284 -316  2
4253500 2702500  1  4 13   5.0 1006 250  2.3 6  4.9  90    1   82 293 -320  2
4253500 2702500  1  4 14   5.2 1005 249  2.2 8  5.0  91    0   48 308 -323  2
4253500 2702500  1  4 15   5.0 1005 230  1.9 6  5.0  91    0   41 310 -323  2
4253500 2702500  1  4 16   5.4 1004 232  1.8 8  5.0  90    0   16 311 -324  2
4253500 2702500  1  4 17   5.4 1004 214  2.2 8  4.9  88    0    0 326 -325  2
4253500 2702500  1  4 18   5.0 1004 194  2.3 7  4.9  88    0    0 318 -326  2
4253500 2702500  1  4 19   4.9 1003 171  2.6 8  4.9  89    0    0 319 -326  2
4253500 2702500  1  4 20   5.3 1002 186  3.1 8  4.9  89    0    0 327 -326  2
4253500 2702500  1  4 21   5.5 1001 196  3.3 7  5.0  88    0    0 320 -326  2
4253500 2702500  1  4 22   5.7 1001 208  1.7 8  5.0  88    0    0 321 -326  2
4253500 2702500  1  4 23   6.6 1001 225  3.1 8  5.1  86    0    0 330 -327  2
4253500 2702500  1  4 24   7.1 1000 236  3.1 7  5.2  83    0    0 323 -327  2
4253500 2702500  1  5  1   7.1 1000 238  2.7 6  5.1  81    0    0 306 -327  2
4253500 2702500  1  5  2   7.2 1000 235  4.0 6  5.1  80    0    0 298 -327  2
4253500 2702500  1  5  3   7.2 1000 238  4.0 7  5.0  78    0    0 306 -328  2
4253500 2702500  1  5  4   6.8 1000 254  3.3 6  4.9  78    0    0 304 -328  2
4253500 2702500  1  5  5   7.2 1000 253  4.3 7  4.8  75    0    0 304 -328  2
4253500 2702500  1  5  6   6.8 1000 262  5.6 7  4.7  75    0    0 314 -329  2
4253500 2702500  1  5  7   5.6 1001 301  4.0 7  4.6  77    0    0 312 -329  2
4253500 2702500  1  5  8   4.6 1002 304  4.2 5  4.1  75    0    0 295 -329  2
4253500 2702500  1  5  9   3.8 1004 300  3.6 4  3.8  73    7   10 273 -329  2
4253500 2702500  1  5 10   3.5 1005 282  3.9 3  3.7  75   70   44 263 -330  2
4253500 2702500  1  5 11   4.5 1006 285  4.6 3  3.8  75  144   62 259 -330  2
4253500 2702500  1  5 12   5.0 1007 295  5.0 3  3.8  71  163   81 260 -332  2
4253500 2702500  1  5 13   5.2 1007 282  4.8 4  3.8  70  104  108 265 -333  2
4253500 2702500  1  5 14   5.0 1007 281  4.5 4  3.7  68   97   96 269 -335  2
4253500 2702500  1  5 15   5.2 1008 290  3.0 2  3.7  67   83   67 256 -335  2
4253500 2702500  1  5 16   4.7 1008 262  1.7 2  3.8  70   16   33 243 -334  2
4253500 2702500  1  5 17   3.2 1008 225  0.1 1  3.7  74    0    1 232 -329  2
4253500 2702500  1  5 18   3.1 1009 227  0.7 1  3.6  76    0    0 220 -322  2
4253500 2702500  1  5 19   2.2 1009 197  0.9 0  3.6  78    0    0 213 -317  2
4253500 2702500  1  5 20   1.3 1009 117  0.9 0  3.5  81    0    0 204 -314  2
4253500 2702500  1  5 21   0.8 1010 125  0.4 0  3.3  81    0    0 202 -313  2
4253500 2702500  1  5 22   0.5 1010 120  1.5 0  3.2  80    0    0 201 -312  2
4253500 2702500  1  5 23   0.4 1010 105  1.4 0  3.2  80    0    0 204 -311  2
4253500 2702500  1  5 24   1.1 1010 124  0.8 0  3.2  79    0    0 208 -310  2
4253500 2702500  1  6  1  -0.5 1010 140  1.7 0  3.1  80    0    0 209 -310  2
4253500 2702500  1  6  2  -0.5 1010 144  1.3 1  3.0  82    0    0 214 -310  2
4253500 2702500  1  6  3  -0.9 1009 137  1.5 0  3.0  82    0    0 215 -310  2
4253500 2702500  1  6  4  -1.1 1008 139  2.1 0  2.9  83    0    0 212 -310  2
4253500 2702500  1  6  5  -0.7 1008 138  2.0 1  2.9  81    0    0 217 -309  2
4253500 2702500  1  6  6   0.3 1009 133  2.1 2  2.8  76    0    0 229 -309  2
4253500 2702500  1  6  7  -0.7 1008 130  2.2 1  2.9  77    0    0 230 -309  2
4253500 2702500  1  6  8  -0.7 1008 129  1.8 0  3.0  82    0    0 221 -309  2
4253500 2702500  1  6  9  -0.6 1008 134  2.7 1  3.0  83    8   10 221 -310  2
4253500 2702500  1  6 10   1.4 1009 133  3.2 3  3.2  82   17   44 238 -311  2
4253500 2702500  1  6 11   2.5 1009 126  3.6 2  3.5  80  139   52 247 -313  2
4253500 2702500  1  6 12   4.7 1008 132  3.3 1  3.7  74  202   62 241 -316  2
4253500 2702500  1  6 13   6.1 1008 131  2.3 1  3.8  68  206   67 240 -319  2
4253500 2702500  1  6 14   7.0 1007 126  2.4 1  4.0  65  162   69 242 -320  2
4253500 2702500  1  6 15   7.2 1006 135  2.9 0  4.0  64   91   60 238 -318  2
4253500 2702500  1  6 16   5.8 1006 127  2.6 2  3.9  65   18   32 240 -316  2
4253500 2702500  1  6 17   4.6 1006 144  4.1 4  3.8  69    0    2 255 -314  2
4253500 2702500  1  6 18   4.0 1006 144  2.9 5  3.8  72    0    0 266 -314  2
4253500 2702500  1  6 19   3.5 1006 132  2.6 4  3.7  74    0    0 264 -313  2
4253500 2702500  1  6 20   4.2 1006 125  3.8 4  3.7  74    0    0 259 -312  2
4253500 2702500  1  6 21   3.1 1006 124  1.9 5  3.8  76    0    0 265 -311  2
4253500 2702500  1  6 22   3.4 1006 134  1.5 3  3.7  78    0    0 261 -312  2
4253500 2702500  1  6 23   3.6 1005 200  0.0 2  3.8  78    0    0 249 -313  2
4253500 2702500  1  6 24   3.8 1006 229  0.1 3  3.9  79    0    0 250 -314  2
4253500 2702500  1  7  1   3.6 1006 166  2.5 4  3.9  79    0    0 262 -319  2
4253500 2702500  1  7  2   4.0 1006 248  1.7 5  4.0  79    0    0 274 -326  2
4253500 2702500  1  7  3   4.6 1007 196  0.7 6  4.1  79    0    0 289 -330  2
4253500 2702500  1  7  4   4.7 1007 216  0.7 7  4.3  81    0    0 302 -332  2
4253500 2702500  1  7  5   5.4 1007 227  0.1 7  4.5  83    0    0 310 -332  2
4253500 2702500  1  7  6   5.2 1008 226  1.3 7  4.7  84    0    0 310 -329  2
4253500 2702500  1  7  7   5.0 1008 234  0.4 7  4.7  85    0    0 310 -329  2
4253500 2702500  1  7  8   5.0 1008 189  1.2 8  4.7  86    0    0 315 -331  2
4253500 2702500  1  7  9   4.4 1009 198  1.1 8  4.7  88    0    7 320 -331  2
4253500 2702500  1  7 10   4.5 1010 229  1.2 7  4.7  89    2   36 312 -331  2
4253500 2702500  1  7 11   5.5 1010 239  0.4 4  4.7  87   20   85 288 -332  2
4253500 2702500  1  7 12   5.0 1010 267  1.3 6  4.8  86   23  116 281 -335  2
4253500 2702500  1  7 13   5.7 1010 181  0.9 6  4.8  86   22  121 294 -338  2
4253500 2702500  1  7 14   5.7 1010 253  0.9 5  4.9  87   38  118 288 -339  2
4253500 2702500  1  7 15   6.1 1009 177  0.7 5  5.0  86   15   78 282 -337  2
4253500 2702500  1  7 16   5.8 1009 158  1.0 6  4.8  83    2   29 287 -332  2
4253500 2702500  1  7 17   5.2 1010 160  1.9 7  4.6  82    0    0 297 -325  2
4253500 2702500  1  7 18   4.0 1010 187  0.8 7  4.4  84    0    0 297 -319  2
4253500 2702500  1  7 19   3.3 1010 109  1.8 3  4.3  86    0    0 272 -315  2
4253500 2702500  1  7 20   3.7 1010 122  2.8 3  4.2  86    0    0 248 -314  2
4253500 2702500  1  7 21   3.6 1010 129  2.2 4  4.1  84    0    0 253 -314  2
4253500 2702500  1  7 22   2.6 1010 131  2.5 1  4.0  84    0    0 241 -313  2
4253500 2702500  1  7 23   2.0 1009 123  2.5 1  3.9  86    0    0 224 -312  2
4253500 2702500  1  7 24   1.7 1009 141  2.1 4  3.8  88    0    0 237 -311  2
4253500 2702500  1  8  1   2.2 1009 137  2.4 4  3.8  87    0    0 251 -311  2
4253500 2702500  1  8  2   2.3 1009 140  2.2 6  3.8  86    0    0 263 -310  2
4253500 2702500  1  8  3   2.4 1009 128  2.4 6  3.9  85    0    0 276 -309  2
4253500 2702500  1  8  4   2.6 1008 135  2.5 6  3.9  85    0    0 277 -309  2
4253500 2702500  1  8  5   2.9 1008 132  3.0 7  3.9  84    0    0 284 -308  2
4253500 2702500  1  8  6   2.8 1008 127  2.5 7  4.0  84    0    0 291 -308  2
4253500 2702500  1  8  7   3.1 1007 128  2.6 4  4.0  84    0    0 274 -308  2
4253500 2702500  1  8  8   3.0 1007 128  2.6 3  4.0  84    0    0 250 -307  2
4253500 2702500  1  8  9   2.8 1007 138  2.3 3  3.9  84    4   13 245 -307  2
4253500 2702500  1  8 10   3.5 1007 133  2.8 7  4.0  83   45   69 271 -307  2
4253500 2702500  1  8 11   4.3 1008 140  3.5 5  4.0  80   36   99 288 -309  2
4253500 2702500  1  8 12   4.7 1008 164  3.3 8  4.1  78    0   44 297 -312  2
4253500 2702500  1  8 13   5.0 1007 181  2.9 8  4.2  78    0   46 316 -314  2
4253500 2702500  1  8 14   5.7 1007 201  3.5 7  4.2  75    0   44 313 -316  2
4253500 2702500  1  8 15   6.2 1007 209  3.5 5  4.1  71    1   57 298 -317  2
4253500 2702500  1  8 16   6.0 1006 210  2.9 5  4.1  69   11   41 287 -315  2
4253500 2702500  1  8 17   5.0 1006 182  3.2 3  4.0  71    0    2 276 -314  2
4253500 2702500  1  8 18   4.7 1006 178  3.9 3  4.0  73    0    0 263 -312  2
4253500 2702500  1  8 19   4.7 1007 159  2.7 5  3.9  74    0    0 273 -310  2
4253500 2702500  1  8 20   5.2 1007 172  2.3 6  4.0  73    0    0 292 -309  2
4253500 2702500  1  8 21   4.9 1007 141  2.4 6  4.0  73    0    0 299 -308  2
4253500 2702500  1  8 22   5.1 1007 144  2.3 7  4.0  74    0    0 305 -308  2
4253500 2702500  1  8 23   4.8 1007 154  2.6 8  4.1  76    0    0 317 -308  2
4253500 2702500  1  8 24   5.3 1007 150  2.9 7  4.3  78    0    0 317 -308  2
4253500 2702500  1  9  1   4.8 1007 139  2.1 8  4.3  79    0    0 316 -308  2
4253500 2702500  1  9  2   4.6 1007 167  2.2 8  4.4  82    0    0 321 -306  2
4253500 2702500  1  9  3   4.6 1007 152  2.1 8  4.4  84    0    0 320 -305  2
4253500 2702500  1  9  4   4.4 1007 163  2.5 8  4.4  84    0    0 319 -305  2
4253500 2702500  1  9  5   4.6 1007 160  1.5 8  4.4  84    0    0 319 -305  2
4253500 2702500  1  9  6   4.5 1007 161  1.5 7  4.4  83    0    0 313 -307  2
4253500 2702500  1  9  7   3.9 1007 153  1.7 6  4.4  85    0    0 301 -309  2
4253500 2702500  1  9  8   3.9 1007 154  2.6 7  4.4  87    0    0 300 -311  2
4253500 2702500  1  9  9   3.5 1007 153  1.8 7  4.4  88    0    4 304 -312  2
4253500 2702500  1  9 10   4.0 1008 131  1.7 8  4.4  88    0   23 309 -312  2
4253500 2702500  1  9 11   3.8 1008 138  2.2 7  4.4  88    0   27 309 -313  2
4253500 2702500  1  9 12   3.8 1009 115  1.4 8  4.6  91    0   34 308 -314  2
4253500 2702500  1  9 13   4.4 1009 166  2.0 6  4.7  92    0   44 302 -317  2
4253500 2702500  1  9 14   4.3 1009 126  2.0 7  4.8  92    0   43 296 -320  2
4253500 2702500  1  9 15   4.3 1009 131  1.5 8  4.9  95    0   35 308 -320  2
4253500 2702500  1  9 16   4.2 1009 126  1.7 8  5.0  96    0   13 313 -318  2
4253500 2702500  1  9 17   3.2 1010 129  1.3 8  4.9  98    0    3 310 -317  2
4253500 2702500  1  9 18   3.8 1010 147  0.9 8  4.7  96    0    0 308 -316  2
4253500 2702500  1  9 19   3.5 1011 188  0.3 8  4.7  94    0    0 308 -315  2
4253500 2702500  1  9 20   3.7 1011 213  1.0 8  4.6  94    0    0 307 -315  2
4253500 2702500  1  9 21   3.5 1012 197  1.6 8  4.7  94    0    0 307 -316  2
4253500 2702500  1  9 22   2.9 1012 354  0.6 8  4.6  95    0    0 305 -318  2
4253500 2702500  1  9 23   2.8 1013   5  1.6 8  4.4  94    0    0 304 -319  2
4253500 2702500  1  9 24   2.7 1014   2  0.5 8  4.3  93    0    0 303 -321  2
4253500 2702500  1 10  1   2.5 1014 326  0.1 7  4.3  93    0    0 298 -320  2
4253500 2702500  1 10  2   2.5 1015 317  0.6 7  4.3  94    0    0 293 -320  2
4253500 2702500  1 10  3   2.8 1015 345  0.6 8  4.3  93    0    0 298 -320  2
4253500 2702500  1 10  4   2.4 1016 314  0.9 8  4.3  93    0    0 303 -321  2
4253500 2702500  1 10  5   2.3 1016 304  1.1 8  4.3  95    0    0 302 -321  2
4253500 2702500  1 10  6   2.1 1017 309  1.0 8  4.2  94    0    0 301 -319  2
4253500 2702500  1 10  7   2.0 1017 325  1.2 7  4.2  95    0    0 294 -317  2
4253500 2702500  1 10  8   2.1 1018 314  1.2 7  4.1  93    0    0 288 -315  2
4253500 2702500  1 10  9   1.9 1018 328  0.4 7  4.0  91    0    5 288 -315  2
4253500 2702500  1 10 10   2.0 1019 295  0.6 7  3.9  89    0   34 287 -314  2
4253500 2702500  1 10 11   2.6 1020 328  0.4 7  3.7  84    7   86 287 -317  2
4253500 2702500  1 10 12   3.2 1020 250  0.7 4  3.7  79   45  153 273 -322  2
4253500 2702500  1 10 13   2.9 1020 294  1.2 5  3.7  78   24  147 263 -325  2
4253500 2702500  1 10 14   2.7 1020 321  1.7 7  3.7  81    4  101 279 -326  2
4253500 2702500  1 10 15   2.1 1021 327  2.2 8  3.8  85    0   47 295 -325  2
4253500 2702500  1 10 16   1.4 1020 344  1.9 8  3.9  91    0   30 298 -322  2
4253500 2702500  1 10 17   1.2 1020 329  1.6 8  3.9  95    0    0 295 -317  2
4253500 2702500  1 10 18   0.8 1021 349  1.2 8  3.9  95    0    0 292 -314  2
4253500 2702500  1 10 19   0.7 1021 345  1.6 8  3.8  95    0    0 289 -313  2
4253500 2702500  1 10 20   0.2 1022 345  1.8 8  3.7  95    0    0 286 -311  2
4253500 2702500  1 10 21   0.1 1022 358  1.7 8  3.6  96    0    0 284 -308  2
4253500 2702500  1 10 22   0.3 1022   3  0.0 8  3.6  95    0    0 283 -308  2
4253500 2702500  1 10 23   0.1 1023 345  0.2 8  3.7  96    0    0 283 -307  2
4253500 2702500  1 10 24   0.1 1023  15  0.6 8  3.6  95    0    0 283 -307  2
4253500 2702500  1 11  1   0.2 1023  62  0.0 7  3.6  94    0    0 278 -306  2
4253500 2702500  1 11  2   0.3 1023 133  0.0 8  3.6  94    0    0 278 -305  2
